"94","2348093","Contaminate","1009.76138","8","2","25.00000","1"
"95","904350","HealsGood","1000.00000","1","0","0.00000","1"
"96","3147902","Elaste","1175.53156","82","49","59.75610","1"
"97","1873819","Ediot","1000.00000","1","0","0.00000","1"
"98","3155802","DISSIDIA","1008.77298","2","1","50.00000","1"
"99","3147919","CordysGarden","1000.00000","3","0","0.00000","1"
"100","3147879","Funyarinpa","1009.80149","2","1","50.00000","1"
"101","3156061","Gamer01","1009.79498","2","1","50.00000","1"
"102","3155440","Sinnamonsters","1000.00000","6","2","33.33333","1"
"103","3155236","Wulfsie","1000.00000","1","0","0.00000","1"
"104","2931182","Shrimp","1012.03495","2","1","50.00000","1"
"105","3143441","Maffu","1000.00000","1","0","0.00000","1"
"106","53023","Kyoki","1011.37772","3","1","33.33333","1"
"107","3147060","ReclusiveRobot","1036.27660","150","60","40.00000","1"
"108","3147718","San Sundertail","1024.00000","1","1","100.00000","1"
"109","3101850","GDtornado","1000.00000","1","0","0.00000","1"
"110","3144976","Mrlordsaif","1000.00000","1","0","0.00000","1"
"111","3156048","Bbh Crafty","1000.00000","1","0","0.00000","1"
"112","3148061","Sharktale On DVD","1000.00000","1","0","0.00000","1"
"113","2349696","Metafire","1093.22268","15","9","60.00000","1"
"114","3147715","Cpt. Captain","1000.00000","1","0","0.00000","1"
"115","3143469","ShuckRaxT","1007.99153","5","2","40.00000","1"
"116","3147713","Supa","1000.00000","1","0","0.00000","1"
"117","3156029","bareky","1000.00000","1","0","0.00000","1"
"118","3156030","Vodacera","1000.00000","1","0","0.00000","1"
"127","3160729","TROOP","1245.54863","114","76","66.66667","1"
"128","3160449","Rainbow","1033.18539","5","3","60.00000","1"
"129","3147710","octo doggo","1189.06612","256","173","67.57813","1"
"130","3160868","Zardans","1000.00000","3","1","33.33333","1"
"131","1915569","Fischnt","1010.48595","3","1","33.33333","1"
"132","2123159","c lamiti","1011.63112","3","1","33.33333","1"
"133","3160813","meatcube","1014.25652","10","3","30.00000","1"
"134","31837","Orange Juice","1000.00000","2","0","0.00000","1"
"135","3152687","Miriyo","1019.46185","10","5","50.00000","1"
"142","3163925","Nobu ///","1033.72411","3","2","66.66667","1"
"143","368315","junk lion","1009.65186","2","1","50.00000","1"
"144","3163750","Bruher","1012.19200","2","1","50.00000","1"
"145","3137399","Not You","1165.69288","25","17","68.00000","1"
"146","3160237","palci veerom","1162.11973","31","19","61.29032","1"
"147","3149816","Lucas9w9","1001.93179","2","1","50.00000","1"
"148","3162779","Kaisar","1019.68706","3","1","33.33333","1"
"149","353180","CB","1031.74539","5","3","60.00000","1"
"150","3161453","hiraethval","1046.76783","60","32","53.33333","1"
"151","3155855","lemon","1000.00000","1","0","0.00000","1"
"152","3160807","Alwodan","1054.18205","6","4","66.66667","1"
"153","3007620","Drakzia","1154.53513","151","88","58.27815","1"
"154","612601","gibi","1000.00000","1","0","0.00000","1"
"155","3160956","xGalaxy","1141.00925","136","77","56.61765","1"
"156","3149846","UltraSomeone125","1009.85053","15","7","46.66667","1"
"157","1683313","Iceswing","1003.00638","2","1","50.00000","1"
"158","3160851","Pudgypoultry","1043.38989","6","4","66.66667","1"
"159","807314","Crow","1012.19200","2","1","50.00000","1"
"160","3160866","Lagos_com_Patos","1000.00000","1","0","0.00000","1"
"161","3147726","Gohl","1000.00000","1","0","0.00000","1"
"162","3161407","SGplaysIt","1024.86344","6","3","50.00000","1"
"163","3163663","JazzyTheNinja","1007.43113","2","1","50.00000","1"
"164","2571786","AgguBaggu","1000.00000","5","2","40.00000","1"
"165","3160873","qwertyy","1000.00000","1","0","0.00000","1"
"166","2336395","Joser","1012.40637","2","1","50.00000","1"
"167","3156024","TDNerd","1000.00000","1","0","0.00000","1"
"168","3160808","Izuna","1000.00000","1","0","0.00000","1"
"169","3161810","steeleater","1008.27535","2","1","50.00000","1"
"170","3161806","GoatAttack","1017.16792","3","1","33.33333","1"
"171","1003156","catsoop","1010.64303","2","1","50.00000","1"
"172","3160804","magoo","1000.00000","1","0","0.00000","1"
"173","3164767","WootThereItIs","1000.00000","1","0","0.00000","1"
"174","196478","Tai","1000.00000","1","0","0.00000","1"
"175","3163716","Supergreen","1008.85326","2","1","50.00000","1"
"176","1080585","SKR","1000.00000","1","0","0.00000","1"
"177","3160940","Saga","1000.00000","1","0","0.00000","1"
"178","2219326","Flowerboy","1000.00000","1","0","0.00000","1"
"179","3161514","KingCrymsonVEVO","1000.00000","1","0","0.00000","1"
"180","3163073","Zuto","1000.00000","1","0","0.00000","1"
"181","3150823","CockGobbler","1000.00000","1","0","0.00000","1"
"182","3160867","Zairei","1035.19273","9","4","44.44444","1"
"183","3151896","ITSHEADSHOT","1000.00000","1","0","0.00000","1"
"184","3121021","uwo","1000.00000","1","0","0.00000","1"
"185","3161111","SolFlora","1009.34443","4","2","50.00000","1"
"186","2088840","Menshir","1000.00000","1","0","0.00000","1"
"187","2263814","BtmTier","1000.00000","2","1","50.00000","1"
"188","2007426","Melody","1323.46720","332","221","66.56627","1"
"189","3162362","RossMellow#6787","1000.00000","2","0","0.00000","1"
"190","3157553","juliem","1000.00000","1","0","0.00000","1"
"191","3162770","Nexterday","1000.00000","1","0","0.00000","1"
"192","3112129","Xamora","1000.00000","1","0","0.00000","1"
"193","3155056","Cheese","1059.06356","7","4","57.14286","1"
"194","3163227","leykeyhai","1011.56641","2","1","50.00000","1"
"195","3147878","davidpuralocura","1025.30269","171","80","46.78363","1"
"196","3154834","Keluna","1000.86855","4","1","25.00000","1"
"197","3159807","Flipside","1000.00000","16","3","18.75000","1"
"198","206423","AKIzumi","1000.00000","1","0","0.00000","1"
"199","3150876","kalenowhat","1000.00000","1","0","0.00000","1"
"200","3161277","Firiko","1000.00000","1","0","0.00000","1"
"201","3161154","Startup001","1000.00000","1","0","0.00000","1"
"202","3161165","dmpo","1000.00000","1","0","0.00000","1"
"203","3162256","ninty","1000.00000","1","0","0.00000","1"
"204","3163630","Chef_Planchoba","1000.00000","1","0","0.00000","1"
"205","3161209","Chromatic","1000.00000","1","0","0.00000","1"
"206","1295799","GubbyBee","1000.00000","1","0","0.00000","1"
"207","3164799","MustWin","1000.00000","1","0","0.00000","1"
"208","3160776","NotWeell","1151.32353","78","43","55.12821","1"
"209","3161279","Deltoid","1000.00000","1","0","0.00000","1"
"210","3161496","goomfrontlut","1038.18867","6","3","50.00000","1"
"211","3163253","KnightSquared","1000.00000","1","0","0.00000","1"
"269","897095","Tipu","1086.70412","68","38","55.88235","1"
"270","3141837","kafsao","1216.94081","152","96","63.15789","1"
"271","3148318","ShadinqTR","1125.63056","118","66","55.93220","1"
"272","3164938","Meathir","1036.94579","13","7","53.84615","1"
"273","3148232","superninjaboygaming","1095.44840","8","6","75.00000","1"
"274","3161698","Leopold","1032.63570","4","2","50.00000","1"
"275","3164646","Yoslosh","1070.51974","28","14","50.00000","1"
"276","3165758","BreadyCore","1037.13847","40","14","35.00000","1"
"277","3147569","Andre s","1011.42436","3","1","33.33333","1"
"278","2369950","Zato-VaN","1058.01467","18","10","55.55556","1"
"279","3164824","Goombafire","1000.00000","2","0","0.00000","1"
"280","3164543","Treesson","1000.00000","2","0","0.00000","1"
"284","659543","lofikay","1042.94351","12","7","58.33333","1"
"285","2437536","Dyscoid","1000.00000","3","1","33.33333","1"
"286","595521","AFancyDress","1009.86219","3","1","33.33333","1"
"287","3169910","W3vil23","1012.95359","3","1","33.33333","1"
"288","1461573","æther","1014.80828","3","1","33.33333","1"
"289","3171316","W3vil23","1017.70890","3","1","33.33333","1"
"290","3167941","Animated cake","1000.00000","15","1","6.66667","1"
"291","2922805","Bitoless","1025.23839","7","3","42.85714","1"
"292","3167813","ZetaKE","1000.00000","2","0","0.00000","1"
"293","3167738","Tril","1000.00000","2","0","0.00000","1"
"294","3167000","Awesome#6122","1011.61878","5","1","20.00000","1"
"295","3167006","Niru","1000.00000","4","0","0.00000","1"
"296","3167821","SrTavo","1000.00000","1","0","0.00000","1"
"297","1261068","Trickster0913","1000.00000","4","0","0.00000","1"
"299","3172549","Q2","1014.95793","2","1","50.00000","1"
"300","3171287","Skelly23","1025.14220","2","1","50.00000","1"
"301","3172289","Lord T","1002.74192","5","2","40.00000","1"
"302","3172372","SirCleric","1016.82503","2","1","50.00000","1"
"303","3170229","PhantomAkira","1000.00000","1","0","0.00000","1"
"304","3150992","Omega&Creator","1000.00000","3","1","33.33333","1"
"305","3170191","Bulletsite","1000.00000","1","0","0.00000","1"
"306","3170122","Dragonking","1000.00000","1","0","0.00000","1"
"307","1918478","Lushtakular","1000.00000","2","0","0.00000","1"
"308","3144564","Bozo","1084.92402","113","55","48.67257","1"
"309","3173833","Spoonsei","1102.63607","12","8","66.66667","1"
"310","3170172","MuffinButton","1000.00000","5","2","40.00000","1"
"311","3170442","Fizzles","1113.27355","67","38","56.71642","1"
"312","2920972","KURAMA","1004.53940","3","1","33.33333","1"
"313","3173243","tskjo","1052.10696","23","12","52.17391","1"
"314","2456028","Entropizer","1014.87779","2","1","50.00000","1"
"315","3170226","TANK YOU","1000.00000","2","0","0.00000","1"
"316","3172196","Dieselweasel","1000.00000","25","9","36.00000","1"
"317","3170491","Beenis","1000.00000","1","0","0.00000","1"
"318","3170386","Reksie","1000.00000","1","0","0.00000","1"
"319","3170292","DvlUp","1000.00000","5","1","20.00000","1"
"320","2247803","AG147","1000.00000","1","0","0.00000","1"
"321","2473782","snoot","1000.00000","1","0","0.00000","1"
"322","3172547",".Bun.","1000.00000","1","0","0.00000","1"
"323","3172064","Gecko","1000.00000","1","0","0.00000","1"
"324","3170582","tudbud","1000.00000","1","0","0.00000","1"
"325","3170570","Aethar","1000.00000","1","0","0.00000","1"
"326","2849601","Dememenic","1000.00000","1","0","0.00000","1"
"327","3173696","Thunk","1000.00000","1","0","0.00000","1"
"328","3174387","Noise","1000.00000","3","0","0.00000","1"
"329","3172346","wahooman","1000.00000","11","2","18.18182","1"
"330","3174401","minero101","1000.00000","1","0","0.00000","1"
"331","3171408","We3b","1000.00000","1","0","0.00000","1"
"332","2121729","RealFlow","1000.00000","1","0","0.00000","1"
"333","3171188","Daimuzu","1004.11485","10","3","30.00000","1"
"334","3170878","mira-cle","1000.00000","1","0","0.00000","1"
"335","3170580","starkitten","1000.00000","1","0","0.00000","1"
"336","3170723","Coltrain","1000.00000","1","0","0.00000","1"
"362","3175159","Hungrybox","1099.02075","87","44","50.57471","1"
"363","3172816","Markelius","1000.00000","3","1","33.33333","1"
"364","3175040","Chriss","1000.00000","2","0","0.00000","1"
"365","3171035","Prenkor","1000.00000","5","1","20.00000","1"
"366","3160806","Kabirbobcone","1000.00000","2","0","0.00000","1"
"367","3173061","LoJay","1000.00000","7","2","28.57143","1"
"368","3175125","Kaboozz","1017.59717","3","1","33.33333","1"
"369","2345543","fishnu","1386.85285","163","115","70.55215","1"
"370","3173070","arc","1000.00000","2","0","0.00000","1"
"371","3170504","ZeroTheWeirdo","1115.47369","130","59","45.38462","1"
"372","3172439","Mrmental","1000.00000","2","0","0.00000","1"
"373","1939617","CNS","1000.00000","2","0","0.00000","1"
"374","3172225","Surfgamer86","1000.00000","1","0","0.00000","1"
"375","3175124","Destremi","1000.00000","1","0","0.00000","1"
"376","3172224","oneshotsenpai","1000.00000","1","0","0.00000","1"
"393","3174525","WillyQuanta","1047.91943","13","7","53.84615","1"
"394","3176899","fartcreature","1260.63433","97","63","64.94845","1"
"395","3178867","lilderpie","1000.00000","83","34","40.96386","1"
"396","3036232","Axolotl","1015.95127","4","2","50.00000","1"
"397","3177667","Salti","1000.00000","2","0","0.00000","1"
"398","3177808","Shuffles","1000.00000","4","1","25.00000","1"
"399","3179223","ninja monkey","1000.00000","3","1","33.33333","1"
"400","1059089","RosyMapleMoth","1000.00000","3","1","33.33333","1"
"401","3177726","User 194500508503769088","1000.00000","2","0","0.00000","1"
"402","3173075","gee","1000.00000","4","0","0.00000","1"
"408","549033","Paracyclo","1127.69025","7","5","71.42857","1"
"409","3179176","aggronomics","1046.09181","5","3","60.00000","1"
"410","3176673","Suck My Kiss","1068.66806","12","7","58.33333","1"
"411","1756000","Nardis","1081.72935","11","7","63.63636","1"
"412","3179291","Zapzoomzam","1000.00000","1","0","0.00000","1"
"413","3173054","Smithveller","1000.00000","1","0","0.00000","1"
"414","3137984","sandos prime","1017.45065","2","1","50.00000","1"
"415","3180110","Penguin IronMan","1009.67536","69","30","43.47826","1"
"416","1991533","Zully","1210.47689","121","75","61.98347","1"
"417","3179247","OlegoAVTOmustang","1000.00000","2","0","0.00000","1"
"418","3179938","Jack556","1013.58345","3","1","33.33333","1"
"419","2837997","PotionSeller","1000.00000","3","1","33.33333","1"
"420","3179947","Двоичный код","1015.72307","5","1","20.00000","1"
"421","3179398","aisu","1017.88669","2","1","50.00000","1"
